Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP (billion USD),covid_period,unemp_change_pct
Malaysia,1991,18.9,31.4,49.7,3.7,49.14,0,0.0
Malaysia,1992,18.5,31.6,49.9,3.71,59.17,0,0.01
Malaysia,1993,17.8,32.0,50.2,4.11,66.89,0,0.4
Malaysia,1994,17.5,32.2,50.3,3.64,74.48,0,-0.47
Malaysia,1995,17.2,32.3,50.5,3.15,88.71,0,-0.49
Malaysia,1996,16.9,32.2,50.9,2.52,100.86,0,-0.63
Malaysia,1997,15.9,33.7,50.4,2.45,100.0,0,-0.07
Malaysia,1998,16.5,31.8,51.8,3.2,72.17,0,0.75
Malaysia,1999,15.9,31.6,52.5,3.43,79.15,0,0.23
Malaysia,2000,15.3,32.0,52.7,3.0,93.79,0,-0.43
Malaysia,2001,15.1,33.1,51.8,3.53,92.78,0,0.53
Malaysia,2002,14.9,32.0,53.1,3.48,100.85,0,-0.05
Malaysia,2003,14.3,32.0,53.7,3.61,110.2,0,0.13
Malaysia,2004,14.6,30.1,55.3,3.54,124.75,0,-0.07
Malaysia,2005,14.6,29.7,55.6,3.53,143.53,0,-0.01
Malaysia,2006,14.6,30.3,55.1,3.32,162.69,0,-0.21
Malaysia,2007,14.7,28.5,56.8,3.23,193.55,0,-0.09
Malaysia,2008,14.0,28.7,57.4,3.32,230.81,0,0.09
Malaysia,2009,13.5,27.0,59.5,3.66,202.26,0,0.34
Malaysia,2010,13.3,27.6,59.1,3.39,255.02,0,-0.27
Malaysia,2011,13.4,27.6,59.1,3.05,297.95,0,-0.34
Malaysia,2012,13.3,27.6,59.2,3.1,314.44,0,0.05
Malaysia,2013,12.7,27.9,59.4,3.16,323.28,0,0.06
Malaysia,2014,12.6,27.7,59.7,2.88,338.07,0,-0.28
Malaysia,2015,12.5,27.5,60.0,3.1,301.36,0,0.22
Malaysia,2016,11.4,27.5,61.1,3.44,301.26,0,0.34
Malaysia,2017,11.3,27.5,61.2,3.41,319.11,0,-0.03
Malaysia,2018,10.6,27.6,61.7,3.3,358.79,0,-0.11
Malaysia,2019,10.2,27.7,62.0,3.26,365.18,0,-0.04
Malaysia,2020,10.5,27.8,61.7,4.54,337.46,1,1.28
Malaysia,2021,10.3,28.2,61.5,4.64,373.78,1,0.1
Malaysia,2022,10.0,28.1,61.9,3.93,407.61,1,-0.71
